ID,Text,Importance,Deadline,IsCompleted,CreationDate,DateOfChange
49981605-3C45-40D2-BE88-9D69E31AA6AA,asdasdasdadsadasda asdasda asda sd ad a ad asd ada sa sdas dad ad a ad ad aasd a ada ad ada da ad a a a aaaasasd asdad asdasda sdadasd asdad adad,,,true,1687150473.4423409,
2,Task 2,,,true,1687158155.5858212,
6,Task 6,,,true,1687158155.585829,
E5FE4D04-6A5C-42A9-AB01-013373A00AB8,Deadline,важная,1687173849.603513,false,1687173849.603527,
B6C186EB-81CC-4765-959B-5FB340BF4920,Deadline,важная,1687173917.507407,true,1687173917.50743,
E08312D7-12D9-415F-8859-6C9B361FEDBE,Deadline,важная,1687173944.7395039,true,1687173944.739517,
B556DB61-C63A-466C-9281-B8CE32DB17DE,Deadline,важная,1687173977.6972451,true,1687173977.697257,
A2AE9D23-2660-442C-A63A-66CFE3F7D46C,Deadline,важная,1687174013.5259628,true,1687174013.525975,
43F00A62-C90F-4BD2-86DE-0A9E17DC22C5,Deadline,важная,1687174023.922046,true,1687174023.922061,
11EB8C91-58E3-4725-B430-049855A70F65,Deadline,важная,1687174166.004802,true,1687174166.004817,
01409A9F-3311-4981-96E2-9F87E4342C92,Deadline,,1687174993.098506,false,1687174993.09852,
AA1A3BA6-D437-4740-B6E5-84ED4D2219CA,Deadline,неважная,1687175473.198029,false,1687175473.1980472,
35FF6C0D-B59E-453E-989F-C6E6409E69B0,Buy Milk,,1688030580.0,false,1687857866.0929751,
008F0D78-22A6-48AF-BEB9-43943AD7A66F,Go to gym,важная,1688031000.0,false,1687858272.639351,
E449FAAA-983B-45ED-8A66-D9F45916B025,Chalit,важная,1687944861.560827,true,1687858481.8069801,
021B969F-C81D-4D62-99EE-BDD20F239262,Qqq,,,false,1687860666.13233,
B455B915-3575-4293-BF3C-631420FFC859,Quick,,,false,1687874059.600281,
A1B572BF-AC0A-4C9C-AEB6-97486474BD34,Zzz,неважная,,false,1687875638.733578,
D20394DB-D8B7-4235-A417-87D36852D42A,Kogo,,,false,1687941129.554424,
